x1,y1,z1,x2,y2,z2
-2.500,-1.715,64.883,-3.629,-1.839,64.938
0.378,-1.638,59.881,-0.682,-2.010,59.855
-2.135,-1.800,68.189,-3.261,-1.894,68.214
5.872,-1.702,61.830,4.833,-1.976,61.623
-3.125,-1.683,67.243,-4.207,-1.837,67.262
1.084,-1.661,63.846,0.090,-1.892,63.833
5.429,-1.525,60.060,4.374,-1.728,60.022
7.507,-1.610,61.806,6.529,-1.773,61.720
-3.987,-1.638,65.549,-5.078,-1.816,65.479
4.391,-1.606,64.598,3.331,-1.797,64.545
4.900,-1.591,63.056,3.838,-1.833,62.965
-1.370,-1.560,66.202,-2.389,-1.751,66.128
5.648,-1.403,58.787,4.603,-1.637,58.677
1.591,-1.389,61.447,0.573,-1.692,61.375
-2.035,-1.421,61.812,-3.115,-1.719,61.736
3.787,-1.388,63.078,2.777,-1.614,62.994
0.721,-1.406,65.740,-0.337,-1.629,65.685
-2.301,-1.393,67.895,-3.432,-1.508,67.924
5.234,-1.278,61.030,4.255,-1.476,60.944
8.375,-1.124,58.318,7.330,-1.337,58.284
-4.046,-1.277,66.436,-5.159,-1.418,66.381
-2.692,-1.195,64.371,-3.800,-1.426,64.352
3.100,-1.164,62.796,2.141,-1.451,62.633
6.387,-1.175,61.375,5.380,-1.301,61.315
2.009,-1.165,64.541,0.928,-1.381,64.527
0.483,-1.070,60.042,-0.613,-1.416,59.903
-0.900,-1.206,66.200,-2.030,-1.337,66.213
8.714,-1.090,60.215,7.680,-1.262,60.212
1.650,-0.955,61.266,0.512,-1.225,61.186
0.158,-0.943,60.997,-0.825,-1.246,61.034
-3.945,-0.990,64.913,-5.027,-1.197,64.901
5.473,-0.874,59.299,4.440,-1.139,59.159
9.297,-0.904,61.223,8.248,-1.184,61.135
-2.419,-0.717,64.873,-3.488,-0.944,64.843
-2.708,-0.556,63.821,-3.768,-0.751,63.838
-2.745,-0.810,63.184,-3.828,-1.042,63.360
-1.717,-0.834,62.228,-2.690,-1.171,62.112
3.170,-0.858,61.874,2.150,-1.123,61.722
3.690,-0.847,64.484,2.578,-1.080,64.404
0.346,-0.899,68.598,-0.774,-1.060,68.642
-2.260,-0.842,68.772,-3.382,-0.987,68.834
3.979,-0.776,63.080,2.920,-1.017,62.972
8.572,-0.668,59.219,7.581,-0.888,59.085
-1.640,-0.733,61.423,-2.734,-1.043,61.368
4.580,-0.714,60.172,3.518,-1.005,60.125
-1.432,-0.668,65.446,-2.470,-0.785,65.565
0.094,-0.636,64.579,-0.963,-0.886,64.520
-4.011,-0.665,66.269,-5.099,-0.778,66.259
-0.336,-0.691,66.282,-1.416,-0.841,66.469
5.838,-0.601,63.441,4.721,-0.864,63.304
5.938,-0.525,59.001,4.940,-0.830,58.781
3.752,-0.576,63.816,2.699,-0.783,63.689
9.445,-0.535,59.068,8.433,-0.714,59.203
6.913,-0.470,62.361,5.873,-0.705,62.290
7.850,-0.484,60.264,6.799,-0.723,60.181
1.194,-0.479,64.509,0.172,-0.733,64.432
2.231,-0.537,66.443,1.168,-0.682,66.553
7.638,-0.439,61.662,6.602,-0.672,61.541
0.841,-0.364,62.044,-0.238,-0.546,61.989
3.145,-0.160,59.795,2.035,-0.444,59.768
5.614,-0.337,64.888,4.538,-0.583,64.941
7.467,-0.311,62.964,6.436,-0.483,62.838
8.761,-0.333,61.428,7.714,-0.549,61.275
7.463,-0.262,59.431,6.397,-0.553,59.282
-3.023,-0.322,68.329,-4.110,-0.392,68.420
-3.937,-0.158,65.831,-4.986,-0.291,65.864
0.087,-0.265,63.491,-0.952,-0.443,63.505
1.884,-0.155,62.927,0.841,-0.354,62.919
-3.661,-0.206,67.805,-4.771,-0.317,67.842
2.865,-0.140,67.236,1.771,-0.287,67.265
3.888,-0.169,60.781,2.839,-0.325,60.792
-1.623,-0.161,66.761,-2.727,-0.363,66.794
-2.214,0.007,65.671,-3.268,-0.182,65.750
-2.137,-0.138,63.476,-3.202,-0.385,63.415
3.785,-0.058,65.129,2.697,-0.206,65.182
8.672,-0.055,59.065,7.647,-0.281,58.954
-1.580,-0.119,68.764,-2.657,-0.257,68.846
3.470,-0.046,61.555,2.408,-0.312,61.387
6.995,-0.072,64.213,5.929,-0.344,64.114
8.401,-0.026,62.716,7.351,-0.188,62.497
5.535,0.022,59.431,4.481,-0.227,59.299
0.385,0.055,67.682,-0.733,-0.066,67.806
3.984,0.072,64.512,2.880,-0.151,64.426
6.075,0.114,64.352,4.996,-0.175,64.252
6.654,0.119,62.271,5.553,-0.077,62.135
0.953,0.224,65.341,-0.101,0.023,65.390
1.562,0.135,69.559,0.427,-0.008,69.633
3.146,0.160,60.278,2.076,-0.055,60.139
-3.725,0.173,67.219,-4.839,0.107,67.289
3.360,0.249,68.785,2.237,0.078,68.804
0.510,0.240,68.581,-0.622,0.031,68.659
-1.046,0.276,67.505,-2.137,0.135,67.604
6.350,0.320,60.252,5.319,0.076,60.155
-2.636,0.326,64.360,-3.747,0.080,64.364
-1.256,0.273,63.333,-2.279,0.020,63.374
5.105,0.356,63.394,4.048,0.163,63.299
-3.929,0.520,66.566,-4.985,0.398,66.624
1.207,0.367,67.104,0.141,0.180,67.025
4.218,0.484,66.816,3.233,0.345,66.746
1.923,0.382,61.315,0.875,0.082,61.147
-1.245,0.435,69.820,-2.336,0.283,69.882
1.250,0.551,62.187,0.127,0.359,62.131
3.262,0.556,66.248,2.217,0.454,66.152
-2.684,0.527,69.254,-3.772,0.392,69.258
-1.561,0.581,64.968,-2.661,0.462,65.084
9.142,0.638,62.179,8.131,0.464,62.043
6.459,0.608,62.630,5.360,0.441,62.553
-4.147,0.637,67.671,-5.226,0.586,67.731
4.162,0.725,67.911,3.091,0.571,67.879
0.262,0.606,63.313,-0.748,0.338,63.244
